,index,caiop,state,raiop,backers_count,goal,goal_mean,succ_mean,media_goal_regione,score,n_char,n_dot,n_word,n_word_per_sentence,polarity,subjectivity,Value
2032,2032,1.06405539100702,successful,3.73027523926804,24,400.0,2152.0,34.61525,8134.66153846154,39.3840629392184,134,1,24,24.0,-0.01375,0.52,7.7
2033,2033,7.40445506048152,successful,3.73027523926804,37,2200.0,2491.03333333333,34.61525,8134.66153846154,35.7315586879472,120,1,18,18.0,0.0,0.0,7.7
2034,2034,5.70298361464505,failed,3.73027523926804,3,10000.0,11889.0985915493,34.61525,8134.66153846154,20.9792686149221,135,1,22,22.0,0.0,0.0,7.7
2035,2035,10.0,successful,3.73027523926804,101,2000.0,8135.55405405405,34.61525,8134.66153846154,47.8590438213432,121,2,20,10.0,0.295833333333333,0.630952380952381,7.7
2036,2036,1.3034169746572,failed,3.73027523926804,14,15000.0,11486.2162162162,34.61525,8134.66153846154,-12.0511914251527,136,1,19,19.0,0.233333333333333,0.538333333333333,7.7
2037,2037,1.3034169746572,failed,3.73027523926804,5,4000.0,11486.2162162162,34.61525,8134.66153846154,-3.57661108011362,115,1,17,17.0,0.633333333333333,0.6,7.7
2038,2038,1.08792011466163,failed,3.73027523926804,0,20000.0,3243.75,34.61525,8134.66153846154,43.4173434615621,136,1,20,20.0,0.0,0.0,7.7
2039,2039,1.08792011466163,failed,3.73027523926804,3,540000.0,3243.75,34.61525,8134.66153846154,27.2845872251,123,1,24,24.0,0.625,0.6,7.7
2040,2040,1.08792011466163,failed,3.73027523926804,10,30000.0,3243.75,34.61525,8134.66153846154,13.3586878535617,136,1,23,23.0,0.160416666666667,0.470833333333333,7.7
2041,2041,1.33583216656867,failed,3.73027523926804,2,800.0,7355.33333333333,34.933075,8134.66153846154,131.090821000978,132,2,25,12.5,0.25,0.2,7.7
2042,2042,1.33583216656867,failed,3.73027523926804,1,800.0,7355.33333333333,34.933075,8134.66153846154,0.0,133,1,20,20.0,0.408333333333333,0.480555555555556,7.7
2043,2043,7.08664371402648,successful,3.73027523926804,127,29000.0,9976.87341772152,34.933075,8134.66153846154,28.8581756645184,43,1,8,8.0,0.0,0.0,7.7
2044,2044,1.3401695840397,failed,3.73027523926804,4,25000.0,11184.3650793651,34.933075,8134.66153846154,69.9497120198663,71,1,12,12.0,0.0,1.0,7.7
2045,2045,1.3401695840397,failed,3.73027523926804,1,1000.0,11184.3650793651,34.933075,8134.66153846154,0.0,125,1,26,26.0,0.2,0.3,7.7
2046,2046,1.3401695840397,failed,3.73027523926804,2,30000.0,11184.3650793651,34.933075,8134.66153846154,39.4027930900291,134,2,22,11.0,0.428571428571429,0.785714285714286,7.7
2047,2047,1.3401695840397,successful,3.73027523926804,78,1500.0,11184.3650793651,34.933075,8134.66153846154,18.8978783454822,128,1,19,19.0,0.126262626262626,0.207070707070707,7.7
2048,2048,1.3401695840397,failed,3.73027523926804,3,1000.0,11184.3650793651,34.933075,8134.66153846154,0.0,127,2,24,12.0,0.4,0.5,7.7
2049,2049,1.06405539100702,failed,3.73027523926804,18,10000.0,2152.0,34.933075,8134.66153846154,59.9969865296105,111,1,19,19.0,0.0,0.0,7.7
2050,2050,10.0,successful,3.73027523926804,258,300.0,8135.55405405405,34.933075,8134.66153846154,30.0542584050038,132,1,19,19.0,-0.0892857142857143,0.142857142857143,7.7
2051,2051,10.0,failed,3.73027523926804,8,1000.0,8135.55405405405,34.933075,8134.66153846154,115.549042418637,104,2,20,10.0,0.4,0.9,7.7
2052,2052,1.3034169746572,failed,3.73027523926804,9,3500.0,11486.2162162162,34.933075,8134.66153846154,28.9577744158141,119,1,22,22.0,0.233333333333333,0.744444444444444,7.7
2053,2053,1.02461417733412,failed,3.73027523926804,10,60000.0,6509.09090909091,34.933075,8134.66153846154,8.05171895679277,132,2,22,11.0,0.266666666666667,0.416666666666667,7.7
2054,2054,1.08792011466163,canceled,3.73027523926804,29,12000.0,3243.75,34.933075,8134.66153846154,74.3448615961983,135,3,20,6.66666666666667,0.225,0.541666666666667,7.7
2055,2055,1.08792011466163,failed,3.73027523926804,4,9000.0,3243.75,34.933075,8134.66153846154,144.0419474667,131,1,23,23.0,0.4375,0.8,7.7
2056,2056,1.3401695840397,failed,1.5556992286404,1,26000.0,11184.3650793651,27.3139333333333,2925.0,42.6333226544864,127,2,19,9.5,0.4,1.0,29.2
2057,2057,1.33583216656867,failed,1.5556992286404,5,8000.0,7355.33333333333,39.7156,2925.0,49.532663436225,129,1,18,18.0,0.0,0.1,29.2
2058,2058,7.40445506048152,successful,1.5556992286404,26,1000.0,2491.03333333333,39.7156,2925.0,20.0816922687661,113,2,22,11.0,0.4453125,0.566666666666667,29.2
2059,2059,1.3401695840397,failed,1.5556992286404,3,5000.0,11184.3650793651,30.0843,2925.0,0.0,94,1,15,15.0,0.5,1.0,29.2
2060,2060,2.10285504987634,successful,1.5556992286404,195,8500.0,2318.5,30.0843,2925.0,45.431386697185,92,1,17,17.0,0.25,0.5,29.2
2061,2061,1.3034169746572,failed,1.5556992286404,7,1000.0,11486.2162162162,30.0843,2925.0,12.2344476389104,55,1,8,8.0,0.375,1.0,29.2
2062,2062,2.13355180061349,failed,1.5556992286404,0,500.0,5018.55319148936,43.857825,2925.0,13.0107628845659,136,2,17,8.5,0.0,0.0,29.2
2063,2063,2.10285504987634,failed,1.5556992286404,12,2500.0,2318.5,33.085225,2925.0,32.9950916225588,89,1,16,16.0,0.0681818181818182,0.427272727272727,29.2
2064,2064,1.06405539100702,failed,1.5556992286404,17,7000.0,2152.0,33.085225,2925.0,30.1446960220173,127,1,17,17.0,0.45,0.575,29.2
